ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state,state_fips,tiger_line,tract,zipcode
,O,0,OAQK,"Victory Schools, DBA The Charter School of Excelle",Elementary,2,0,0,NY,10701,,,,"0K,01,02,03,04",260 WARBURTON AVE,1006,YONKERS,"-73.897156,40.94465",119,"260 WARBURTON AVE, YONKERS, NY, 10701",0,Exact,Match,40.94465,-73.897156,"260 WARBURTON AVE, YONKERS, NY, 10701",R,NY,36,139742928,402,10701
10X081,X,2,X081,P.S. 081 ROBERT J. CHRISTEN,Elementary,1,10,10,NY,10471,MELODIE MASHEL,718-796-8965,718-796-7242,"0K,01,02,03,04,05,SE",5550 RIVERDALE AVENUE,3008,BRONX,"-73.90523,40.903557",5,"5550 RIVERDALE AVENUE, BRONX, NY, 10471",1,Exact,Match,40.903557,-73.90523,"5550 RIVERDALE AVE, BRONX, NY, 10471",R,NY,36,80313114,33700,10471
11X016,X,2,X016,P.S. 016 WAKEFIELD,Elementary,1,11,11,NY,10470,YVONNE WILLIAMS,718-324-1262,718-324-8370,"PK,0K,01,02,03,04,05,SE",4550 CARPENTER AVENUE,1000,BRONX,"-73.85483,40.90221",5,"4550 CARPENTER AVENUE, BRONX, NY, 10470",2,Exact,Match,40.90221,-73.85483,"4550 CARPENTER AVE, BRONX, NY, 10470",R,NY,36,80297384,41400,10470
11X019,X,2,X019,P.S. 019 JUDITH K. WEISS,K-8,1,11,11,NY,10470,Timothy P. Sullivan,718-324-1924,718-994-9132,"0K,01,02,03,04,05,06,07,08,SE",4318 KATONAH AVENUE,1005,BRONX,"-73.86749,40.899254",5,"4318 KATONAH AVENUE, BRONX, NY, 10470",3,Exact,Match,40.899254,-73.86749,"4318 KATONAH AVE, BRONX, NY, 10470",R,NY,36,80296848,45102,10470
11X087,X,2,X087,P.S. 087 BRONX,Elementary,1,11,11,NY,10466,DONNA ANAMAN,718-324-5188,718-325-1148,"0K,01,02,03,04,05,SE",1935 BUSSING AVENUE,1002,BRONX,"-73.84606,40.895077",5,"1935 BUSSING AVENUE, BRONX, NY, 10466",4,Exact,Match,40.895077,-73.84606,"1935 BUSSING AVE, BRONX, NY, 10466",L,NY,36,80297684,42800,10466
11X103,X,2,X103,P.S. 103 HECTOR FONTANEZ,Elementary,1,11,11,NY,10466,Farid Reyes,718-655-0261,718-654-7930,"0K,01,02,03,04,05,SE",4125 CARPENTER AVENUE,1002,BRONX,"-73.86169,40.891754",5,"4125 CARPENTER AVENUE, BRONX, NY, 10466",5,Exact,Match,40.891754,-73.86169,"4125 CARPENTER AVE, BRONX, NY, 10466",L,NY,36,80297057,42000,10466
11X068,X,2,X068,P.S. 068 BRONX,Elementary,1,11,11,NY,10466,Catherine Helfrich,718-324-2854,718-324-3852,"PK,0K,01,02,03,04,05,SE",4011 MONTICELLO AVENUE,4002,BRONX,"-73.83841,40.89158",5,"4011 MONTICELLO AVENUE, BRONX, NY, 10466",6,Exact,Match,40.89158,-73.83841,"4011 MONTICELLO AVE, BRONX, NY, 10466",L,NY,36,80297793,42600,10466
10X141,X,2,X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,Secondary School,1,10,10,NY,10463,LORI O'MARA,718-796-8516,718-796-8657,"06,07,08,09,10,11,12,SE",660 WEST 237 STREET,4001,BRONX,"-73.913994,40.888382",5,"660 WEST 237 STREET, BRONX, NY, 10463",7,Exact,Match,40.888382,-73.913994,"660 W 237TH ST, BRONX, NY, 10463",L,NY,36,80295902,30900,10463
11X270,X,2,X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A CO,Secondary School,1,11,11,NY,10466,Zenobia White,718-696-3840,718-696-3841,"06,07,08,09,10,11,12,SE",921 EAST 228TH STREET,3000,BRONX,"-73.85281,40.887867",5,"921 EAST 228TH STREET, BRONX, NY, 10466",8,Exact,Match,40.887867,-73.85281,"921 E 228TH ST, BRONX, NY, 10466",L,NY,36,80297630,40400,10466
11X513,X,2,X513,NEW WORLD HIGH SCHOOL,High school,1,11,11,NY,10466,FAUSTO SALAZAR,718-696-3800,718-696-3801,"09,10,11,12",921 EAST 228TH STREET,3000,BRONX,"-73.85281,40.887867",5,"921 EAST 228TH STREET, BRONX, NY, 10466",9,Exact,Match,40.887867,-73.85281,"921 E 228TH ST, BRONX, NY, 10466",L,NY,36,80297630,40400,10466
11X514,X,2,X514,SPORTS PROFESSIONS HIGH SCHOOL,High school,1,11,11,NY,10466,JANET GALLARDO,718-696-3820,718-696-3821,"09,10,11,12,SE",921 EAST 228TH STREET,3000,BRONX,"-73.85281,40.887867",5,"921 EAST 228TH STREET, BRONX, NY, 10466",10,Exact,Match,40.887867,-73.85281,"921 E 228TH ST, BRONX, NY, 10466",L,NY,36,80297630,40400,10466
11X021,X,2,X021,P.S. 021 PHILLIP H. SHERIDAN,Elementary,1,11,11,NY,10466,JOYCE COLEMAN,718-652-3903,718-231-2556,"0K,01,02,03,04,05,SE",715 EAST 225 STREET,3001,BRONX,"-73.85988,40.887627",5,"715 EAST 225 STREET, BRONX, NY, 10466",11,Exact,Match,40.887627,-73.85988,"715 E 225TH ST, BRONX, NY, 10466",L,NY,36,80297092,40600,10466
10X024,X,2,X024,P.S. 024 SPUYTEN DUYVIL,Elementary,1,10,10,NY,10463,DONNA CONNELLY,718-796-8845,718-796-7243,"0K,01,02,03,04,05,SE",660 WEST 236 STREET,4002,BRONX,"-73.91395,40.88716",5,"660 WEST 236 STREET, BRONX, NY, 10463",12,Exact,Match,40.88716,-73.91395,"660 W 236TH ST, BRONX, NY, 10463",L,NY,36,80295903,30900,10463
11X142,X,2,X142,J.H.S. 142 JOHN PHILIP SOUSA,Junior High-Intermediate-Middle,1,11,11,NY,10466,CASIMIRO CIBELLI,718-231-0100,718-231-3046,"06,07,08,SE",3750 BAYCHESTER AVENUE,3001,BRONX,"-73.84081,40.88559",5,"3750 BAYCHESTER AVENUE, BRONX, NY, 10466",13,Exact,Match,40.88559,-73.84081,"3750 BAYCHESTER AVE, BRONX, NY, 10466",R,NY,36,80297814,48400,10466
11X532,X,2,X532,Baychester Middle School,Junior High-Intermediate-Middle,1,11,11,NY,10466,Shawn Mangar,718-935-3577,,"06,07,08,SE",3750 BAYCHESTER AVENUE,3001,BRONX,"-73.84081,40.88559",5,"3750 BAYCHESTER AVENUE, BRONX, NY, 10466",14,Exact,Match,40.88559,-73.84081,"3750 BAYCHESTER AVE, BRONX, NY, 10466",R,NY,36,80297814,48400,10466
11X529,X,2,X529,One World Middle School at Edenwald,Junior High-Intermediate-Middle,1,11,11,NY,10466,Patricia Wynne,718-935-3587,,"06,07,08,SE",3750 BAYCHESTER AVENUE,3001,BRONX,"-73.84081,40.88559",5,"3750 BAYCHESTER AVENUE, BRONX, NY, 10466",15,Exact,Match,40.88559,-73.84081,"3750 BAYCHESTER AVE, BRONX, NY, 10466",R,NY,36,80297814,48400,10466
11X111,X,2,X111,P.S. 111 SETON FALLS,Elementary,1,11,11,NY,10466,AVA FULLENWEIDER,718-881-2418,718-405-5927,"PK,0K,01,02,03,04,05,SE",3740 BAYCHESTER AVENUE,3001,BRONX,"-73.840744,40.885445",5,"3740 BAYCHESTER AVENUE, BRONX, NY, 10466",16,Exact,Match,40.885445,-73.840744,"3740 BAYCHESTER AVE, BRONX, NY, 10466",R,NY,36,80297814,48400,10466
84X718,X,2,X718,BRONX CHARTER SCHOOL FOR BETTER LEARNING,Elementary,2,11,84,NY,10466,Shubert Jacobs,718-655-6660,718-655-5555,"0K,01,02,03,04,05",3740 BAYCHESTER AVENUE,3001,BRONX,"-73.840744,40.885445",5,"3740 BAYCHESTER AVENUE, BRONX, NY, 10466",17,Exact,Match,40.885445,-73.840744,"3740 BAYCHESTER AVE, BRONX, NY, 10466",R,NY,36,80297814,48400,10466
10X308,X,2,X308,BRONX DANCE ACADEMY SCHOOL,Junior High-Intermediate-Middle,1,10,10,NY,10467,SANDRA SANCHEZ,718-515-0410,718-515-0345,"06,07,08,SE",3617 BAINBRIDGE AVENUE,4000,BRONX,"-73.87767,40.88511",5,"3617 BAINBRIDGE AVENUE, BRONX, NY, 10467",18,Exact,Match,40.88511,-73.87767,"3617 BAINBRIDGE AVE, BRONX, NY, 10467",L,NY,36,80296830,43100,10467
